CdStationMesureEauxSurface;LbStationMesureEauxSurface;DurStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;CdProjStationMesureEauxSurface;LibelleProjection;CodeCommune;LbCommune;CodeDepartement;LbDepartement;CodeRegion;LbRegion;CdMasseDEau;CdEuMasseDEau;NomMasseDEau;CdEuSsBassinDCEAdmin;NomSsBassinDCEAdmin;CdBassinDCE;CdEuBassinDCE;NomEuBassinDCE;CdTronconHydrographique;CdCoursdEau;NomCoursdEau;CodeTypEthStationMesureEauxSurface;LibelleTypEthStationMesureEauxSurface;ComStationMesureEauxSurface;DateCreationStationMesureEauxSurface;DateArretActiviteStationMesureEauxSurface;DateMAJInfosStationMesureEauxSurface;FinaliteStationMesureEauxSurface;LocPreciseStationMesureEauxSurface;CodeNatureStationMesureEauxSurface;LibelleNatureStationMesureEauxSurface;AltitudePointCaracteritisque;PkPointTronconEntiteHydroPrincipale;PremierMoisAnneeEtiage;SuperficieBassinVersantReel;SuperficieBassinVersantTopo
"03115525";"L'OURCQ A MAROLLES 1";;707811;6896313;"26";"RGF93 / Lambert 93";"60385";"Marolles";"60";"Oise";"32";"Hauts-de-France";"HR144";"FRHR144";"L Ourcq de sa source au confluent de l Autheuil  inclus";"FRH_MARN";"Marne";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"F6340400";"F63-0400";"L'Ourcq";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";63;;;;
"03115616";"LE RU D'ALLAN A MAROLLES 1";;707827;6894309;"26";"RGF93 / Lambert 93";"60385";"Marolles";"60";"Oise";"32";"Hauts-de-France";"HR144-F6347000";"FRHR144-F6347000";"ru d allan";"FRH_MARN";"Marne";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"F6347000";"F6347000";"Ru d'Allan";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";63;;;;
"03115630";"LE RU D'AUTHEUIL A MAROLLES 1";;706244;6895487;"26";"RGF93 / Lambert 93";"60385";"Marolles";"60";"Oise";"32";"Hauts-de-France";"HR144-F6350600";"FRHR144-F6350600";"ru d autheuil";"FRH_MARN";"Marne";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"F6350600";"F6350600";"Ru d'Autheuil";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";79;;;;
"03115650";"L'OURCQ A MAREUIL-SUR-OURCQ 1";;705891;6893026;"26";"RGF93 / Lambert 93";"60380";"Mareuil-sur-Ourcq";"60";"Oise";"32";"Hauts-de-France";"HR146";"FRHR146";"L Ourcq du confluent de l Autheuil  exclu  au confluent de la Marne  exclu";"FRH_MARN";"Marne";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"F6360400";"F63-0400";"L'Ourcq";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";60;;;;
"03115695";"LA GRIVETTE A ANTILLY 1";;699074;6894145;"26";"RGF93 / Lambert 93";"60020";"Antilly";"60";"Oise";"32";"Hauts-de-France";"HR146-F6365000";"FRHR146-F6365000";"ruisseau la grivette";"FRH_MARN";"Marne";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"F6365000";"F6365000";"La Grivette";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";84;;;;
"03115700";"LA GRIVETTE A THURY-EN-VALOIS 1";;701773.81;6893417.03;"26";"RGF93 / Lambert 93";"60637";"Thury-en-Valois";"60";"Oise";"32";"Hauts-de-France";"HR146-F6365000";"FRHR146-F6365000";"ruisseau la grivette";"FRH_MARN";"Marne";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"F6365000";;;"2";"Station qualité située sur un cours d'eau";;2012-11-30;;2014-06-20;;"Non renseignée";"M";"Station de mesure Manuelle";72;;;;
"03115930";"LA GERGOGNE A ACY-EN-MULTIEN 1";;697735;6888453;"26";"RGF93 / Lambert 93";"60005";"Acy-en-Multien";"60";"Oise";"32";"Hauts-de-France";"HR146-F6384000";"FRHR146-F6384000";"la Gergogne";"FRH_MARN";"Marne";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"F6384000";"F6384000";"La Gergogne";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";80;;;;
"03132555";"LE RU DE CAMELIN A BRETIGNY 1";;707945;6939482;"26";"RGF93 / Lambert 93";"60105";"Brétigny";"60";"Oise";"32";"Hauts-de-France";"HR185-H0301000";"FRHR185-H0301000";"ru de camelin";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0301000";"H0301000";"Ru de Camelin";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";48;;;;
"03132615";"LE RU DE BELLE-FONTAINE A PONTOISE-LES-NOYON 1";;703387.38;6938838.64;"26";"RGF93 / Lambert 93";"60507";"Pontoise-lès-Noyon";"60";"Oise";"32";"Hauts-de-France";"HR185-H0303000";"FRHR185-H0303000";"ru de belle fontaine";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0303000";;;"2";"Station qualité située sur un cours d'eau";;2013-02-13;;2014-07-04;;"Non renseignée";"M";"Station de mesure Manuelle";41;;;;
"03132620";"LE COURS D'EAU NUMÃRO 01 DE LA COMMUNE DE GRANDRU A APPILLY";;708980;6942754;"26";"RGF93 / Lambert 93";"60021";"Appilly";"60";"Oise";"32";"Hauts-de-France";"HR185-H0300760";"FRHR185-H0300760";"le grand ru";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0300760";"H0300760";"Cours d'Eau 01 de la Commune de Grandru";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2014-03-05;;"Non renseignée";"M";"Station de mesure Manuelle";44;;;;
"03132690";"LE MARQUAIS A NOYON 1";;700789.99;6941010.11;"26";"RGF93 / Lambert 93";"60471";"Noyon";"60";"Oise";"32";"Hauts-de-France";"HR186-H0319000";"FRHR186-H0319000";"ru Marquais";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0319000";;;"2";"Station qualité située sur un cours d'eau";;2013-02-13;;2013-02-13;;"Non renseignée";"M";"Station de mesure Manuelle";36;;;;
"03132733";"LA VERSE DE BEAUGIES A GUISCARD 2";;703459.76;6950784.53;"26";"RGF93 / Lambert 93";"60291";"Guiscard";"60";"Oise";"32";"Hauts-de-France";"HR186-H0313000";"FRHR186-H0313000";"ruisseau la verse de beaugies";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";;;;"2";"Station qualité située sur un cours d'eau";;2019-11-12;;2022-02-24;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03132736";"LA VERSE A GUISCARD 2";;702013;6950117;"26";"RGF93 / Lambert 93";"60291";"Guiscard";"60";"Oise";"32";"Hauts-de-France";"HR186";"FRHR186";"la Verse de sa source au confluent de l Oise  exclu";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0310600";"H0310600";"La Verse";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";52;;;;
"03132775";"LA MÈVE A SERMAIZE 1";;697644;6946967;"26";"RGF93 / Lambert 93";"60617";"Sermaize";"60";"Oise";"32";"Hauts-de-France";"HR186-H0316000";"FRHR186-H0316000";"la meve";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0316000";"H0316000";"La Meve";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2015-11-12;;"Non renseignée";"M";"Station de mesure Manuelle";47;;;;
"03132827";"LA VERSE A PONT-L'EVEQUE 1";;699980.77;6941024.28;"26";"RGF93 / Lambert 93";"60506";"Pont-l'Évêque";"60";"Oise";"32";"Hauts-de-France";"HR186";"FRHR186";"la Verse de sa source au confluent de l Oise  exclu";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0310600";"H0310600";"La Verse";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2020-04-08;;"Non renseignée";"M";"Station de mesure Manuelle";40;;;;
"03132870";"L'OISE A SEMPIGNY 1";;699550;6940092;"26";"RGF93 / Lambert 93";"60610";"Sempigny";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;"H0320100";;;"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03132909";"LA DIVETTE A LASSIGNY 1";;689446.97;6943775.16;"26";"RGF93 / Lambert 93";"60350";"Lassigny";"60";"Oise";"32";"Hauts-de-France";"HR185-H0321000";"FRHR185-H0321000";"la divette";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0321000";"H0321000";"La Divette";"2";"Station qualité située sur un cours d'eau";;2008-05-14;;2020-03-27;;"Non renseignée";"M";"Station de mesure Manuelle";59;;;;
"03132976";"LA DIVETTE A PASSEL 4";;697428.1;6939639.85;"26";"RGF93 / Lambert 93";"60488";"Passel";"60";"Oise";"32";"Hauts-de-France";"HR185-H0321000";"FRHR185-H0321000";"la divette";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0321000";"H0321000";"La Divette";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2020-10-13;;"Non renseignée";"M";"Station de mesure Manuelle";37;;;;
"03133000";"L'OISE A CHIRY-OURSCAMPS 1";;697820;6937303;"26";"RGF93 / Lambert 93";"60150";"Chiry-Ourscamp";"60";"Oise";"32";"Hauts-de-France";"HR185";"FRHR185";"L Oise du confluent de l Ailette  exclu  au confluent de l'Aisne  exclu";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0320100";"H---0100";"L'Oise";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;"RCS";"Non renseignée";"M";"Station de mesure Manuelle";36;;;;
"03133040";"LA DORDONNE A CARLEPONT 1";;700317.39;6937055.67;"26";"RGF93 / Lambert 93";"60129";"Carlepont";"60";"Oise";"32";"Hauts-de-France";"HR185-H0323000";"FRHR185-H0323000";"ruisseau la dordonne";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0323000";;;"2";"Station qualité située sur un cours d'eau";;2013-02-13;;2014-07-04;;"Non renseignée";"M";"Station de mesure Manuelle";46;;;;
"03133140";"LE RU DU MOULIN A BAILLY 1";;698690;6934010;"26";"RGF93 / Lambert 93";"60043";"Bailly";"60";"Oise";"32";"Hauts-de-France";"HR185-H0331000";"FRHR185-H0331000";"ru du moulin";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0331000";"H0331000";"Ru du Moulin";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2013-03-01;;"Non renseignée";"M";"Station de mesure Manuelle";40;;;;
"03133155";"LE RU DU DANIEL A BAILLY 1";;698719;6933941;"26";"RGF93 / Lambert 93";"60043";"Bailly";"60";"Oise";"32";"Hauts-de-France";"HR185-H0332000";"FRHR185-H0332000";"ru du daniel";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0332000";"H0332000";"Ru du Daniel";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2013-03-01;;"Non renseignée";"M";"Station de mesure Manuelle";41;;;;
"03133415";"LE RU DU GODERU A LACROIX-SAINT-OUEN 1";;681887;6915442;"26";"RGF93 / Lambert 93";"60338";"Lacroix-Saint-Ouen";"60";"Oise";"32";"Hauts-de-France";"HR216C-H2007000";"FRHR216C-H2007000";"ru du goderu";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H2007000";"H2007000";"Ru du Goderu";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2017-08-17;;"Non renseignée";"M";"Station de mesure Manuelle";42;;;;
"03133435";"LE RU DE SAINT-LEGER A SAINT-LEGER-AUX-BOIS 1";;696330;6931693;"26";"RGF93 / Lambert 93";"60582";"Saint-Léger-aux-Bois";"60";"Oise";"32";"Hauts-de-France";"HR185-H0334000";"FRHR185-H0334000";"ru de saint leger";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0334000";"H0334000";"Ru de Saint-Leger";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2013-03-01;;"Non renseignée";"M";"Station de mesure Manuelle";42;;;;
"03133474";"L'OISE A CAMBRONNE-LES-RIBECOURT 1";;693694;6933272;"26";"RGF93 / Lambert 93";"60119";"Cambronne-lès-Ribécourt";"60";"Oise";"32";"Hauts-de-France";"HR185";"FRHR185";"L Oise du confluent de l Ailette  exclu  au confluent de l'Aisne  exclu";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0330100";"H---0100";"L'Oise";"2";"Station qualité située sur un cours d'eau";;2008-05-14;;2008-05-14;;"Non renseignée";"M";"Station de mesure Manuelle";33;;;;
"03133595";"LE MAREUIL A MARGNY-SUR-MATZ 1";;684264;6935705;"26";"RGF93 / Lambert 93";"60383";"Margny-sur-Matz";"60";"Oise";"32";"Hauts-de-France";"HR187-H0343000";"FRHR187-H0343000";"ruisseau le mareuil";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0343000";"H0343000";"Le Mareuil";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2023-03-22;;"Non renseignée";"M";"Station de mesure Manuelle";49;;;;
"03133670";"LE MATZ A MELICOCQ 1";;689908;6933024.1;"26";"RGF93 / Lambert 93";"60392";"Mélicocq";"60";"Oise";"32";"Hauts-de-France";"HR187";"FRHR187";"le Matz de sa source au confluent de l Oise  exclu";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0340600";"H0340600";"Le Matz";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2023-03-22;;"Non renseignée";"M";"Station de mesure Manuelle";43;;;;
"03133690";"LE MATZ A THOUROTTE 1";;692521;6931894;"26";"RGF93 / Lambert 93";"60636";"Thourotte";"60";"Oise";"32";"Hauts-de-France";"HR187";"FRHR187";"le Matz de sa source au confluent de l Oise  exclu";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0340600";"H0340600";"Le Matz";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2023-03-22;;"Non renseignée";"M";"Station de mesure Manuelle";38;;;;
"03133797";"LE RU DES HAYETTES A LE PLESSIS-BRION 1";;692126;6929960;"26";"RGF93 / Lambert 93";"60501";"Le Plessis-Brion";"60";"Oise";"32";"Hauts-de-France";"HR185-H0351000";"FRHR185-H0351000";"ru des hayettes";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0351000";"H0351000";"Ru des Hayettes";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2015-08-26;;"Non renseignée";"M";"Station de mesure Manuelle";33;;;;
"03133850";"L'OISE A CLAIROIX 1";;690171;6926907;"26";"RGF93 / Lambert 93";"60156";"Clairoix";"60";"Oise";"32";"Hauts-de-France";"HR185";"FRHR185";"L Oise du confluent de l Ailette  exclu  au confluent de l'Aisne  exclu";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0350100";"H---0100";"L'Oise";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";38;;;;
"03133886";"L'ARONDE A MOYENNEVILLE 1";;674052;6932630;"26";"RGF93 / Lambert 93";"60440";"Moyenneville";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;"H0360600";;;"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2023-03-22;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03133889";"L'ARONDE A NEUFVY-SUR-ARONDE 1";;675362;6932662;"26";"RGF93 / Lambert 93";"60449";"Neufvy-sur-Aronde";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2006-04-26;;2023-03-22;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03133890";"LA SOMME DOR A GOURNAY-SUR-ARONDE 1";;676037;6933020;"26";"RGF93 / Lambert 93";"60281";"Gournay-sur-Aronde";"60";"Oise";"32";"Hauts-de-France";"HR188-H0362000";"FRHR188-H0362000";"somme d or";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0362000";"H0362000";"La Somme Dor";"2";"Station qualité située sur un cours d'eau";;2006-04-26;;2023-03-22;;"Non renseignée";"M";"Station de mesure Manuelle";55;;;;
"03133892";"L'ARONDE A GOURNAY-SUR-ARONDE 2";;677602;6931532;"26";"RGF93 / Lambert 93";"60281";"Gournay-sur-Aronde";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;"H0360600";;;"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2023-03-22;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03133908";"LE RUISSEAU PAYELLE A REMY 1";;680305;6929192;"26";"RGF93 / Lambert 93";"60531";"Remy";"60";"Oise";"32";"Hauts-de-France";"HR188-H0365000";"FRHR188-H0365000";"payelle";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0365000";;;"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2024-04-24;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03133913";"L'ARONDE A MONCHY-HUMIERES 1";;681812;6929861;"26";"RGF93 / Lambert 93";"60408";"Monchy-Humières";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2006-04-26;;2023-03-22;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03133934";"L'ARONDE A BIENVILLE 1";;687876;6928217;"26";"RGF93 / Lambert 93";"60070";"Bienville";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;"H0360600";;;"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2023-03-22;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03133937";"L'ARONDE A CLAIROIX 1";;689329;6926719;"26";"RGF93 / Lambert 93";"60156";"Clairoix";"60";"Oise";"32";"Hauts-de-France";"HR188";"FRHR188";"L Aronde de sa source au confluent de l Oise  exclu";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H0360600";"H0360600";"L'Aronde";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2023-03-22;"RCS";"Non renseignée";"M";"Station de mesure Manuelle";34;;;;
"03134000";"L'OISE A COMPIEGNE 1";;684541;6922111;"26";"RGF93 / Lambert 93";"60159";"Compiègne";"60";"Oise";"32";"Hauts-de-France";"HR216C";"FRHR216C";"L Oise du confluent de l Aisne  exclu  au confluent du Therain  exclu";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H2000100";"H---0100";"L'Oise";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;"RCS";"Non renseignée";"M";"Station de mesure Manuelle";30;;;;
"03134226";"LE RU DES PLANCHETTES A LACROIX-SAINT-OUEN 3";;685062;6918976;"26";"RGF93 / Lambert 93";"60338";"Lacroix-Saint-Ouen";"60";"Oise";"32";"Hauts-de-France";"HR216C-H2005000";"FRHR216C-H2005000";"ru  des planchettes";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";;;;"2";"Station qualité située sur un cours d'eau";;2009-01-21;;2020-10-02;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03134575";"L'AUTOMNE A VEZ 1";;702020;6906489;"26";"RGF93 / Lambert 93";"60672";"Vez";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;"H2010400";;;"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03134578";"LE RU DE LONGPRÉ A VEZ 2";;701947;6906950;"26";"RGF93 / Lambert 93";"60672";"Vez";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2023-01-10;;2023-01-10;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03134595";"LE RU DE MOISE A VAUMOISE";;699189.85;6905113.11;"26";"RGF93 / Lambert 93";"60661";"Vaumoise";"60";"Oise";"32";"Hauts-de-France";"HR217A-H2012050";"FRHR217A-H2012050";"ru moise";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";;;;"2";"Station qualité située sur un cours d'eau";;2016-01-28;;2020-10-02;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03134617";"LE RU DE BONNEUIL A BONNEUIL-EN-VALOIS";;696960.71;6909439.44;"26";"RGF93 / Lambert 93";"60083";"Bonneuil-en-Valois";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2016-01-28;;2016-01-28;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03134618";"LE RU DE BONNEUIL A FRESNOY-LA-RIVIERE 1";;696275;6908613;"26";"RGF93 / Lambert 93";"60260";"Fresnoy-la-Rivière";"60";"Oise";"32";"Hauts-de-France";"HR217A-H2014000";"FRHR217A-H2014000";"ru de bonneuil";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H2014000";"H2014000";"Ru de Bonneuil";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";62;;;;
"03134665";"L'AUTOMNE A ORROUY 1";;689271;6909765;"26";"RGF93 / Lambert 93";"60481";"Orrouy";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;"H2010400";;;"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03134708";"LE RU DES TAILLANDIERS A DUVY 1";;677913;6908921;"26";"RGF93 / Lambert 93";"60203";"Duvy";"60";"Oise";"32";"Hauts-de-France";"HR217B-H2022000";"FRHR217B-H2022000";"ru des taillandiers";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H2022000";"H2022000";"Ru des Taillandiers";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2020-02-28;;"Non renseignée";"M";"Station de mesure Manuelle";77;;;;
"03134727";"LA BAYBELLE A GLAIGNES 1";;689007.68;6906899;"26";"RGF93 / Lambert 93";"60274";"Glaignes";"60";"Oise";"32";"Hauts-de-France";"HR217B-H2025000";"FRHR217B-H2025000";"ruisseau le baybelle";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H2025000";;;"2";"Station qualité située sur un cours d'eau";;2013-02-13;;2013-02-13;;"Non renseignée";"M";"Station de mesure Manuelle";66;;;;
"03134728";"LE RU DE BAYBELLE A ROCQUEMONT";;687676.87;6906450.79;"26";"RGF93 / Lambert 93";"60543";"Rocquemont";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2016-01-28;;2016-01-28;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03134730";"LA RIVIÈRE SAINTE-MARIE A GLAIGNES 1";;689084;6907895;"26";"RGF93 / Lambert 93";"60274";"Glaignes";"60";"Oise";"32";"Hauts-de-France";"HR217B";"FRHR217B";"le Ru de Sainte Marie de sa source au confluent de l Automne  exclu";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H2020600";"H2020600";"Rivière Sainte-Marie";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;"RCS";"Non renseignée";"M";"Station de mesure Manuelle";62;;;;
"03134790";"LE RU DE LA DOUYE A BETHISY SAINT PIERRE 1";;684762;6910617;"26";"RGF93 / Lambert 93";"60447";"Néry";"60";"Oise";"32";"Hauts-de-France";"HR217A-H2030700";"FRHR217A-H2030700";"ru de la Douye";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H2030700";;;"2";"Station qualité située sur un cours d'eau";;2014-01-21;;2014-01-21;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03134795";"LE RU DE DOUYE A BETHISY-SAINT-PIERRE";;685114.18;6911081.18;"26";"RGF93 / Lambert 93";"60068";"Béthisy-Saint-Pierre";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2016-01-28;;2016-01-28;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03134800";"L'AUTOMNE A SAINTINES 2";;683539;6911978;"26";"RGF93 / Lambert 93";"60578";"Saintines";"60";"Oise";"32";"Hauts-de-France";"HR217A";"FRHR217A";"L Automne de sa source au confluent de l Oise  exclu";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H2030400";"H20-0400";"L'Automne";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";37;;;;
"03135000";"L'OISE A VERBERIE 1";;679938;6912505;"26";"RGF93 / Lambert 93";"60667";"Verberie";"60";"Oise";"32";"Hauts-de-France";"HR216C";"FRHR216C";"L Oise du confluent de l Aisne  exclu  au confluent du Therain  exclu";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H2040100";"H---0100";"L'Oise";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";38;;;;
"03135360";"LE RU DE ROUCANNE A RHUIS 1";;677397;6912189.87;"26";"RGF93 / Lambert 93";"60536";"Rhuis";"60";"Oise";"32";"Hauts-de-France";"HR216C-H2042000";"FRHR216C-H2042000";"ru de roucanne";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H2042000";"H2042000";"Ru de Roucanne";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2013-03-01;;"Non renseignée";"M";"Station de mesure Manuelle";33;;;;
"03135650";"LA CONTENTIEUSE A HOUDANCOURT 1";;673862;6914916;"26";"RGF93 / Lambert 93";"60318";"Houdancourt";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2021-02-01;;2021-02-01;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03135860";"LE RUISSEAU FOSSÉ TRAXIN A PONTPOINT 1";;673589;6911845;"26";"RGF93 / Lambert 93";"60508";"Pontpoint";"60";"Oise";"32";"Hauts-de-France";"HR216C-H2044000";"FRHR216C-H2044000";"ruisseau fosse traxin";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H2044000";"H2044000";"Ruisseau Fosse Traxin";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2020-10-02;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
