CdStationMesureEauxSurface;LbStationMesureEauxSurface;DurStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;CdProjStationMesureEauxSurface;LibelleProjection;CodeCommune;LbCommune;CodeDepartement;LbDepartement;CodeRegion;LbRegion;CdMasseDEau;CdEuMasseDEau;NomMasseDEau;CdEuSsBassinDCEAdmin;NomSsBassinDCEAdmin;CdBassinDCE;CdEuBassinDCE;NomEuBassinDCE;CdTronconHydrographique;CdCoursdEau;NomCoursdEau;CodeTypEthStationMesureEauxSurface;LibelleTypEthStationMesureEauxSurface;ComStationMesureEauxSurface;DateCreationStationMesureEauxSurface;DateArretActiviteStationMesureEauxSurface;DateMAJInfosStationMesureEauxSurface;FinaliteStationMesureEauxSurface;LocPreciseStationMesureEauxSurface;CodeNatureStationMesureEauxSurface;LibelleNatureStationMesureEauxSurface;AltitudePointCaracteritisque;PkPointTronconEntiteHydroPrincipale;PremierMoisAnneeEtiage;SuperficieBassinVersantReel;SuperficieBassinVersantTopo
"03165895";"LE RUISSEAU DE CIRES A CIRES-LES-MELLO 1";;653235;6909885;"26";"RGF93 / Lambert 93";"60155";"Cires-lès-Mello";"60";"Oise";"32";"Hauts-de-France";"HR225-H2156000";"FRHR225-H2156000";"ruisseau de cires";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H2156000";"H2156000";"Ruisseau de Cires";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";68;;;;
"03166050";"LE THERAIN A MAYSEL 1";;654724;6907104;"26";"RGF93 / Lambert 93";"60391";"Maysel";"60";"Oise";"32";"Hauts-de-France";"HR225";"FRHR225";"le Therain du confluent de l Avelon  exclu  au confluent de l Oise  exclu";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H2150400";"H21-0400";"Le Therain";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;"RCS";"Non renseignée";"M";"Station de mesure Manuelle";37;;;;
"03166490";"LE THERAIN A MONTATAIRE 2";;660037;6905043;"26";"RGF93 / Lambert 93";"60414";"Montataire";"60";"Oise";"32";"Hauts-de-France";"HR225";"FRHR225";"le Therain du confluent de l Avelon  exclu  au confluent de l Oise  exclu";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H2150400";"H21-0400";"Le Therain";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";27;;;;
"03167150";"LA NONETTE A NANTEUIL-LE-HAUDOUIN 1";;686872;6893137;"26";"RGF93 / Lambert 93";"60446";"Nanteuil-le-Haudouin";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2020-11-03;;2020-11-03;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03167160";"LA NONETTE A NANTEUIL-LE-HAUDOUIN 2";;684970;6893137;"26";"RGF93 / Lambert 93";"60446";"Nanteuil-le-Haudouin";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2020-11-03;;2020-11-03;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03167230";"LE COULERY A VERSIGNY 1";;682642;6896557;"26";"RGF93 / Lambert 93";"60671";"Versigny";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2020-11-03;;2020-11-03;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03167249";"LE COULERY A BARON 1";;681046.44;6896650.93;"26";"RGF93 / Lambert 93";"60047";"Baron";"60";"Oise";"32";"Hauts-de-France";"HR226-H2214000";"FRHR226-H2214000";"ruisseau de coulery";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H2214000";;;"2";"Station qualité située sur un cours d'eau";;2012-07-24;;2013-03-01;;"Non renseignée";"M";"Station de mesure Manuelle";70;;;;
"03167255";"LA NONETTE A BARON 2";;679993;6896609;"26";"RGF93 / Lambert 93";"60047";"Baron";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2020-11-03;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03167320";"LA LAUNETTE A EVE 2";;677820;6885992;"26";"RGF93 / Lambert 93";"60226";"Ève";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2020-11-03;;2020-11-03;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03167330";"LA LAUNETTE A EVE 1";;678665;6887446;"26";"RGF93 / Lambert 93";"60226";"Ève";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2020-11-03;;2020-11-03;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03167350";"LA LAUNETTE A VER-SUR-LAUNETTE 1";;677204;6889256;"26";"RGF93 / Lambert 93";"60666";"Ver-sur-Launette";"60";"Oise";"32";"Hauts-de-France";"HR226-H2218000";"FRHR226-H2218000";"la launette";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H2218000";"H2218000";"La Launette";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2017-08-17;;"Non renseignée";"M";"Station de mesure Manuelle";86;;;;
"03167378";"LA LAUNETTE A VER-SUR-LAUNETTE 3";;677152;6890529;"26";"RGF93 / Lambert 93";"60666";"Ver-sur-Launette";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2020-11-03;;2021-03-01;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03167430";"LA LAUNETTE A FONTAINE-CHAALIS 1";;677019;6895348;"26";"RGF93 / Lambert 93";"60241";"Fontaine-Chaalis";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;"H2218000";;;"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2020-11-03;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03167492";"LA NONETTE A BOREST 2";;675502;6897732;"26";"RGF93 / Lambert 93";"60087";"Borest";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;;;;"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2020-11-03;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03167600";"LA NONETTE A SENLIS 1";;671524;6899486;"26";"RGF93 / Lambert 93";"60612";"Senlis";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;"H2220400";;;"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2020-11-03;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03167683";"L'AUNETTE A RULLY 1";;677031;6904297;"26";"RGF93 / Lambert 93";"60560";"Rully";"60";"Oise";"32";"Hauts-de-France";"HR226-H2225000";"FRHR226-H2225000";"l aunette";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";;;;"2";"Station qualité située sur un cours d'eau";;2020-11-03;;2020-11-03;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03167740";"L'AUNETTE A CHAMANT 2";;671782;6901999;"26";"RGF93 / Lambert 93";"60138";"Chamant";"60";"Oise";"32";"Hauts-de-France";"HR226-H2225000";"FRHR226-H2225000";"l aunette";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H2225000";;;"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2020-11-03;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03167820";"LA NONETTE A COURTEUIL 1";;667459;6900045;"26";"RGF93 / Lambert 93";"60170";"Courteuil";"60";"Oise";"32";"Hauts-de-France";"HR226";"FRHR226";"la Nonette de sa source au confluent de l Oise  exclu";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H2220400";"H22-0400";"La Nonette";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";48;;;;
"03168000";"LA NONETTE A CHANTILLY 1";;660697;6899856;"26";"RGF93 / Lambert 93";"60141";"Chantilly";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;"H2220400";;;"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2020-11-03;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03168035";"LA NONETTE A GOUVIEUX 1";;658462;6899683;"26";"RGF93 / Lambert 93";"60282";"Gouvieux";"60";"Oise";"32";"Hauts-de-France";"HR226";"FRHR226";"la Nonette de sa source au confluent de l Oise  exclu";"FRH_OISE";"Oise";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H2220400";"H22-0400";"La Nonette";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";45;;;;
"03168085";"LA NONETTE A GOUVIEUX 3";;656474;6899806;"26";"RGF93 / Lambert 93";"60282";"Gouvieux";"60";"Oise";"32";"Hauts-de-France";;;;;;;;;"H2220400";;;"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2020-11-03;;"Non renseignée";"M";"Station de mesure Manuelle";0;;;;
"03175500";"L'EPTE A SERIFONTAINE 1";;610462;6916236;"26";"RGF93 / Lambert 93";"60616";"Sérifontaine";"60";"Oise";"32";"Hauts-de-France";"HR235";"FRHR235";"L Epte du confluent du ru de Goulancourt  exclu  au confluent de la Troesne  exclu";"FRH_SEAV";"Seine aval";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H3120400";"H31-0400";"L'Epte";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2013-03-11;;"Non renseignée";"M";"Station de mesure Manuelle";60;;;;
"03176090";"LE MERDRON A IVRY-LE-TEMPLE 1";;629200.8;6903435.18;"26";"RGF93 / Lambert 93";"60321";"Ivry-le-Temple";"60";"Oise";"32";"Hauts-de-France";"FRHR236A";;;;;;;;"H3131000";;;"2";"Station qualité située sur un cours d'eau";;2012-11-09;;2013-01-08;;"Non renseignée";"M";"Station de mesure Manuelle";81;;;;
"03176110";"LE RU DE POUILLY A IVRY LE TEMPLE 1";;626644.46;6903652.52;"26";"RGF93 / Lambert 93";"60321";"Ivry-le-Temple";"60";"Oise";"32";"Hauts-de-France";"FRHR236A-H3132000";;;;;;;;"H3132000";;;"2";"Station qualité située sur un cours d'eau";;2012-11-09;;2013-01-08;;"Non renseignée";"M";"Station de mesure Manuelle";74;;;;
"03176220";"LE RU DU MESNIL A FLEURY 1";;624656.36;6903723.97;"26";"RGF93 / Lambert 93";"60239";"Fleury";"60";"Oise";"32";"Hauts-de-France";"FRHR236A-H3134000";;;;;;;;"H3134000";;;"2";"Station qualité située sur un cours d'eau";;2012-11-09;;2013-01-08;;"Non renseignée";"M";"Station de mesure Manuelle";74;;;;
"03176290";"LE CANAL DE MARQUEMONT A TOURLY 1";;623552;6903678;"26";"RGF93 / Lambert 93";"60640";"Tourly";"60";"Oise";"32";"Hauts-de-France";"FRHR236A";;;;;;;;"H3130600";"H3130600";"La Troesne";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2010-03-08;;"Non renseignée";"M";"Station de mesure Manuelle";68;;;;
"03176297";"LE RU DE LOCONVILLE A LOCONVILLE 1";;620060.05;6906535.24;"26";"RGF93 / Lambert 93";"60367";"Loconville";"60";"Oise";"32";"Hauts-de-France";"FRHR236A-H3134250";;;;;;;;"H3134250";;;"2";"Station qualité située sur un cours d'eau";;2012-11-13;;2013-01-08;;"Non renseignée";"M";"Station de mesure Manuelle";66;;;;
"03176305";"LE RU DU MOULINET A CHAUMONT-EN-VEXIN 1";;619348.56;6907832.93;"26";"RGF93 / Lambert 93";"60143";"Chaumont-en-Vexin";"60";"Oise";"32";"Hauts-de-France";"FRHR236A-H3135000";;;;;;;;"H3135000";;;"2";"Station qualité située sur un cours d'eau";;2012-11-09;;2013-01-08;;"Non renseignée";"M";"Station de mesure Manuelle";67;;;;
"03176308";"LA TROËSNE A CHAUMONT-EN-VEXIN 1";;618720;6908282;"26";"RGF93 / Lambert 93";"60143";"Chaumont-en-Vexin";"60";"Oise";"32";"Hauts-de-France";"HR236";"FRHR236";"La Troesne de sa source au confluent de l Epte  exclu";"FRH_SEAV";"Seine aval";"H";"FRH";"La Seine et les cours d'eau côtiers normands";;"H3130600";"La Troesne";"2";"Station qualité située sur un cours d'eau";;2009-05-05;;2018-08-28;;"Non renseignée";"M";"Station de mesure Manuelle";63;;;;
"03176320";"LA TROÉSNE A TRIE-LA-VILLE 1";;616202;6909221;"26";"RGF93 / Lambert 93";"60645";"Trie-la-Ville";"60";"Oise";"32";"Hauts-de-France";"HR236";"FRHR236";"La Troesne de sa source au confluent de l Epte  exclu";"FRH_SEAV";"Seine aval";"H";"FRH";"La Seine et les cours d'eau côtiers normands";"H3130600";"H3130600";"La Troesne";"2";"Station qualité située sur un cours d'eau";;2010-03-08;;2018-08-28;;"Non renseignée";"M";"Station de mesure Manuelle";60;;;;
