code_sta,Ammonium,Demande Chimique en Oxyg��ne (,Nitrates,Orthophosphates (PO4),Oxyg��ne dis
3162150,0.031666667,12.76650287,32.21666667,0.103333333,9.35
3162240,0.037150862,8.745535714,29.27672414,0.079294372,10.31252101
3162325,0.232831858,11.04537037,33.55929204,0.165946903,8.761875
3162365,0.135926554,10.20287356,30.97118644,0.163322034,9.952865169
3162430,0.264555556,18.19555556,12.99111111,0.422444444,8.411153846
3162700,0.090606061,14.33030303,29.93636364,0.332727273,9.109642857
3162900,1.149442105,38.83626374,8.666315789,0.398189474,7.593333333
3162990,0.465,24.5,5.25,0.26,6.54
3163000,0.099905941,11.2027027,27.14158416,0.161257426,10.35054187
